switch_number: 26
0 12 24
1 13 25
2 14 24
3 15 25
4 16 24
5 17 25
6 18 24
7 19 25
8 20 24
9 21 25
10 22 24
11 23 25
12 0 12
13 0 13
14 0 14
15 0 15
16 1 12
17 1 13
18 1 14
19 1 15
20 2 12
21 2 13
22 2 14
23 2 15
24 3 12
25 3 13
26 3 14
27 3 15
28 4 16
29 4 17
30 4 18
31 4 19
32 5 16
33 5 17
34 5 18
35 5 19
36 6 16
37 6 17
38 6 18
39 6 19
40 7 16
41 7 17
42 7 18
43 7 19
44 8 20
45 8 21
46 8 22
47 8 23
48 9 20
49 9 21
50 9 22
51 9 23
52 10 20
53 10 21
54 10 22
55 10 23
56 11 20
57 11 21
58 11 22
59 11 23
